Year,Revenue_Billion_CAD,Gross_Margin_Percent,Operating_Margin_Percent,EBITDA_Million_CAD,Store_Count,Sales_Per_SqFt_CAD,Inventory_Turnover,Days_Inventory,Markdown_Rate_Percent,Ecommerce_Revenue_Million_CAD,Ecommerce_Share_Percent,NPS,Loyalty_Members_Million
2016,10.4,38.2,5.4,562,249,285,3.2,114,22,312,3.0,28,4.2
2017,9.9,37.1,3.8,410,238,268,3.0,121,25,420,4.2,24,4.0
2018,9.2,35.8,1.2,185,224,245,2.8,134,28,560,6.1,20,3.7
2019,8.6,34.4,-1.6,-42,205,226,2.6,145,31,720,8.4,16,3.4
2020,6.2,32.1,-8.2,-127,179,198,2.4,152,35,890,14.4,12,3.1
2021,5.8,31.4,-10.6,-198,156,182,2.2,168,38,820,14.1,6,2.8
2022,5.1,29.9,-13.8,-285,128,165,2.0,185,42,760,14.9,1,2.4
2023,4.4,28.6,-16.2,-356,103,152,1.9,196,45,690,15.7,-4,2.1
2024,3.8,26.8,-18.4,-412,87,142,1.8,203,48,640,16.8,-8,1.8
2025,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0
